row_label,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026
Accommodation services - Accommodation services,0.2663772691396948,0.1377546000196794,0.0884347057089618,0.3043392892204899,0.0489380444357312,0.2445705341420412,0.4879476920074177,-0.0291346994270136,-0.1748591412473188,0.0194628260023366,0.2140494259583514,0.2038834951456181
Actual rental payments made for housing - Actual rental payments made by tenants for main residence,0.109539932284397,0.2188401472197343,0.1786600496277879,0.1882492816803749,0.1977848101265777,0.1677852348993314,0.1182382500739098,0.1279401633697441,0.1965795164143857,0.0980969197567294,0.1176009408075273,0.1957713390759563
Alcoholic beverages - Beer,1.9988184324537304,0.917076937928374,0.6217715706906324,0.6654624964350209,0.4060817829823371,0.3386004514672747,0.168728908886373,0.1403705783267872,0.0934492103541684,0.10269816076931,0.027979854504756,0.0372960372960529
Alcoholic beverages - Other alcoholic beverages,-0.0891177344291449,-0.0297324083250782,0.1982750074353001,-0.0296823983377714,0.2771179730799655,0.2862218712988529,0.4035035921661212,0.4802979807880803,0.3511852502194879,0.4374453193350724,0.0967866821525387,-0.0676851672790634
Alcoholic beverages - Spirits and liquors,0.2069169376293311,0.0294985250737456,0.4226875061437152,0.6656225528582693,0.3403345001944613,0.3973253222211426,0.6274131274131234,0.2110311750599613,0.0861491337226016,0.1625860749808749,0.2196123364842872,0.0571646341463338
Alcoholic beverages - Wine,0.1113999257333908,0.1483679525222436,0.2407407407407413,0.0554221319046588,0.3138847858197957,0.0552181115405892,0.1195732155996998,0.0551217271474557,0.0367275732256144,0.1009637448370792,0.1742160278745519,-0.0091533180778036
Beverages - Cocoa drinks,0.1780943900267173,0.2370370370370356,0.0886786875554213,0.0984445757038932,0.1966955153422489,0.2748331370239443,0.4013312451057071,0.0682460758506531,-0.0487139516757606,-0.1169704649575997,0.0195179076802887,0.0780563957459179
Beverages - Coffee and coffee substitutes,1.5665796344647598,1.386338597135528,1.2949379697545949,1.1979259789022034,1.4134275618374437,1.0888501742160273,0.9909521757863082,,1.5017064846416297,-0.1176866173503654,0.2272344723110775,0.1931312452766675
Beverages - Fruit and vegetable juices,0.1977066034005492,0.2466456195737931,0.2854049798248326,0.3042198233562221,0.234810683886133,0.2147388970229258,0.1071393785916141,,0.0097295193617563,-0.038914291273473,0.0291970802919649,0.1070247129791868
Beverages - Other beverages,0.0893034332208886,0.1586200059482401,0.1583688013461204,0.16800079059196,0.0986582478295083,0.1379854129706315,0.0492125984252078,0.029513034923756,-0.3147128245476027,-0.1578531965272245,-0.1185770750988135,-0.1088246933122261
Beverages - Soft drinks,0.0,-0.089820359281445,0.1098791329537496,-0.0099780482937572,-0.0399161760303301,0.049915144254764,0.0099780482937683,0.0199541055572183,-0.1695760598503737,-0.329736211031173,-0.2005012531328343,-0.1707684580612767
"Beverages - Tea, maté and other plant-derived products for infusion",0.563708815239572,0.6282014110370104,0.3937764118324915,0.2965655792595445,0.2289202594429662,0.2474305291206846,0.0854376305297055,,-0.0094849663283769,-0.1612597230127077,-0.2375296912114022,-0.1238095238095149
Beverages - Water,-0.0100060036021476,-0.020014009806879,0.030027024321888,0.0500300180108048,0.0900090009001042,0.0399680255795509,0.0399520575309564,-0.0798722044728417,-0.4796163069544445,-0.5622489959839272,-0.2726171243941921,-0.1923661030677315
"Clothing - Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing",0.3612928424958639,0.3502626970227629,0.3975179367849524,0.4249154997585602,0.3269545148572028,0.3067190645068551,0.3440038222646935,0.2571183696790768,0.2469604863222008,0.3221527382982758,0.3305629013978128,0.2918196366374914
Clothing - Clothing materials,0.4658385093167627,0.4540185471406444,0.2500240407731668,0.3932853717026452,0.2197592203325049,0.3622842978358243,0.3134796238244419,0.2556818181818299,0.0472277321243108,0.3209969788519728,0.2917372482589719,0.2815051140095725
Clothing - Garments,0.3299689440993791,0.3288837299284308,0.4145777092171343,0.3648583773403713,0.3061322108485642,0.3051979017644424,0.2852524484168395,0.341329287949188,-0.1228385145988775,0.2838221381267658,0.226415094339627,0.16001506024097
Clothing - Other articles of clothing and clothing accessories,0.2135300397942297,0.1840193704600423,0.1643464810518136,0.260592606891219,0.1925298421255217,0.1921598770176835,0.1630226313770633,0.3350885591191899,-0.0858778625954181,0.4775093114315787,0.3421727972626076,0.1515582078241983
Cultural goods - Musical instruments,0.1081612586037339,0.0589333071407516,0.0196328654167077,0.225733634311509,0.1860556208382213,0.175935881145528,0.195140989364817,-0.0973804654786247,0.0389901549858517,0.1071811361200492,0.2335993770683275,-0.1068168576422556
Cultural services - Photographic services,0.2966478789676818,0.3450655624568588,0.0884260168992012,0.2355943850004926,0.4504945646851332,0.2924831822170404,0.340235248371723,0.1646967641929952,0.096721152916146,0.231906464392706,0.1446061891448913,0.1155179052753307
"Cultural services - Services provided by cinemas, theatres and concert venues",0.3733176146969219,-0.0489380444357423,0.460242851547199,-0.0194950774929481,0.3119820610314905,-0.0777529400330379,0.3307071296566599,-0.0581677169171124,0.1649044524202114,-0.0193685841565094,0.3487020534676421,0.3281853281853264
Early childhood and primary education - Early childhood and primary education,0.0487852473412209,0.0585137507314037,0.8089668615984591,0.5220922362950686,0.9329614311820666,0.886220697541451,0.273920846320963,-0.207234363225317,0.037757221068535,-0.0188714851858895,0.0283125707814191,0.0377394093782568
