row_label,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026
"Accommodation services - Hotels, motels, inns and similar accommodation services",0.2663772691396948,0.1377546000196794,0.0884347057089618,,0.3534262713528413,0.2445705341420412,0.4879476920074177,-0.0291346994270136,-0.1748591412473188,0.0194628260023366,0.2140494259583514,0.2038834951456181
Actual rental payments made by tenants for main residence - Actual rental payments made by tenants for main residence,0.109539932284397,0.2188401472197343,0.1786600496277879,0.1882492816803749,0.1977848101265777,0.1677852348993314,0.1182382500739098,0.1279401633697441,0.1965795164143857,0.0980969197567294,0.1176009408075273,0.1957713390759563
Appliances for personal care - Purchase of appliances for personal care,0.1583688013461204,0.1185887933590423,0.0987069390978145,,0.3155507346415565,0.2260886660768513,0.1471165162808985,-0.0979336010185072,-0.4509361827271907,0.0787789266371241,0.0,0.1082357571583259
Assistive products - Assistive products for hearing and communication,0.0990785693054441,0.0494902504206695,0.1978630787495161,0.1184834123222788,0.1577909270216837,0.1181567546278072,0.2163650668764782,0.1668302257114673,-0.4114823160575986,,0.206591244466292,0.1276261535440692
Assistive products - Assistive products for mobility and daily living,0.0989707046714194,0.1977456990310599,-0.0296033155713471,0.1381897147369359,0.118284869393781,0.0492271339962657,0.1377681558748289,0.1179245283018826,-0.1276010993325416,,-0.1670761670761633,-0.098444575703871
Assistive products - Assistive products for vision,0.2068150482568365,0.1965601965602026,0.2550269740068556,0.234810683886133,0.1756954612005756,0.2143622722400762,0.2041808458920879,0.0679215990684989,,,0.106661495200222,0.1452925222781953
Audio-visual devices - Audio-visual devices,-0.009970089730793,0.0,-0.0398843354272648,0.0199501246882727,0.0698115089259099,0.0,0.0398644608331499,-0.4084478979876405,-2.0906271881564464,-0.2349816101348434,-0.1536098310291889,-0.1333333333333297
Beer - Beer,1.9988184324537304,0.917076937928374,0.6217715706906324,0.6654624964350209,0.4060817829823371,0.3386004514672747,0.168728908886373,,0.2339509638779713,0.10269816076931,0.027979854504756,0.0372960372960529
Bicycles - Bicycle,0.0196521568242236,0.0392965910207321,0.1767651968967998,0.1764532888932413,0.2544280262256615,0.1756954612005756,0.1558998343564432,-0.1848428835489968,-0.9161793372319704,,-0.1377139484556422,-0.0394011032308849
Books - Educational books and textbooks,-0.0495392846527442,0.0396510705789054,0.2179944510503295,0.2471821237888027,0.5128710918236523,0.0392503189088566,0.0392349190779794,0.0098048828316654,0.0098039215686407,0.1274384864228928,0.0097904836499074,0.088105726872234
Cereals and cereal products - Bread and bakery products,0.2853488143264915,0.2747252747252737,0.3620352250489178,0.3899775762893798,0.3010585607458482,0.3776142525174331,0.1253978971737179,0.0963391136801661,-0.1828681424446698,-0.3374795101725891,-0.0483746130030882,-0.0387184202884527
Cereals and cereal products - Breakfast cereals,0.29231218941832,0.1845914699310169,0.1163692785104641,0.1452925222781953,0.2514749975819796,0.3183791606367503,0.0096172340834588,0.0961630926050727,0.0192141416082147,-0.0480261262126524,0.0768787238131896,-0.0576147493758449
Cereals and cereal products - Cereals,0.4406130268199248,-0.0476826244516503,-0.6678752027478363,-0.4898664873691283,-0.2992277992277858,-0.212992545260926,0.2231493159988495,0.1355275895450258,-0.2900232018561488,0.0678689160364509,0.0581339017537096,0.1549336690229497
Cereals and cereal products - Flour of cereals,0.9172594533882306,0.4822852902986563,-1.1168543474247783,-0.8307663586296976,-0.4518072289156571,-0.1891074130105918,0.4452444107616582,0.1697632745449429,-0.254213350908572,0.349254294883905,0.0846580754397585,0.3195488721804418
"Cereals and cereal products - Macaroni, noodles, couscous and similar pasta products",0.560527092142804,0.3813807940543645,0.311738918655613,0.2719238613188235,0.2808716707021874,0.2124782692679128,0.1831148804934512,0.096200096200083,-0.2018260451705833,0.077041602465333,0.2983063895304116,0.1055358342127998
Cereals and cereal products - Other milled cereal and grain products,0.5047138367774595,0.4832291074474026,0.2640264026402716,-0.0940468353239909,-0.0564812199943531,0.20721484411792,0.2537832503054726,0.234389649353095,-0.1870732391731411,0.2436510167744376,0.1028325698793963,-0.0466940605154952
"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing - Cleaning, ironing, dry cleaning and dyeing of clothing",0.3035644339992149,0.3221712388948639,0.2335539120280172,0.3495145631067897,0.2321981424148633,0.2123552123552086,0.19264110961279,0.1730436454528083,0.2207293666026899,0.2968495643014268,0.4678250907008019,0.3611137508314987
"Cleaning, ironing, dry cleaning, dyeing, repair, tailoring and hire of clothing - Repair, tailoring and hire of clothing",0.3611517813567388,0.3501264345458166,0.4167474316727926,0.4343210114853724,0.345954257159331,0.3160314116069651,0.3627684964200517,0.2663369161989948,0.2466559149985725,0.3312198353364159,0.3112620260328214,0.2820874471086254
Clothing materials - Clothing materials,0.4658385093167627,0.4540185471406444,0.2500240407731668,0.3932853717026452,0.2197592203325049,0.3622842978358243,0.3134796238244419,,0.3030303030303161,0.3209969788519728,0.2917372482589719,0.2815051140095725
Cocoa drinks - Cocoa drinks,0.1780943900267173,0.2370370370370356,0.0886786875554213,0.0984445757038932,0.1966955153422489,0.2748331370239443,0.4013312451057071,,0.0194988788144723,-0.1169704649575997,0.0195179076802887,0.0780563957459179
Coffee and coffee substitutes - Coffee: powder,1.5665796344647598,1.386338597135528,1.2949379697545949,1.1979259789022034,1.4134275618374437,1.0888501742160273,0.9909521757863082,,1.5017064846416297,-0.1176866173503654,0.2272344723110775,0.1931312452766675
